"00001","GRAND JURY","","",""
"00002","VALADE","","",""
"00003","FAN","","",""
"00004","TWO COWS","","",""
"00005","G.BURRY","","",""
"00006","SIMBA","","",""
"00007","PATAPON","","",""
"00008","KANNY","","",""
"00009","PALMIER","","",""
"00010","DAUCY","","",""
"00011","CAROLIN","","",""
"00012","SANOGYL","","",""
"00013","GENIE","","",""
"00014","OURAGAN","","",""
"00015","NET","","",""
"00016","FERNANDEZ","","",""
"00017","K2R","","",""
"00018","DECOLOR STOP","","",""
"00019","HAAGEN DAZS","","",""
"00020","EAU ECARLATE","","",""
"00021","SAINT MALO","","",""
"00023","DOPLA","","",""
"00025","SPRING VALLEE","","",""
"00030","OASIS","","",""
"00050","DILLON","","",""
"00058","N.FEUILLATTE","","",""
"00079","DILO","","",""
"00090","FRIT RAVICH","","",""
"03090","P.MARTINET","","",""
"03520","J.FLOC'H","","",""
"05772","BALCONI","","",""
"09275","W.SAURIN","","",""
"29380","REA","","",""
"32721","ALLAIRE","","",""
"91647","PRESIDENT","","",""
"91716","GALBANI","","",""
"98808","MARION","","",""
"99161","J.F.A","","",""
"99203","ELLE & VIRE","","",""
